post_id,title,link,company,salary,date,description
11,Software Engineer (Behavior & Control) C++/Python,https://sg.indeed.com/company/MooVita-Pte-Ltd/jobs/Software-Engineer-C++-Python-08051688a625d53c?fccid=e976c7dcbb81668f&vjs=3,MooVita Pte Ltd,$4000 - $7000,2 days ago,"Experience developing software as part of a team.Testing & validation of software for vehicle behaviour, path planning and vehicle controls."
12,Software developer,https://sg.indeed.com/rc/clk?jk=f9681d7aef81f9d6&fccid=dd616958bd9ddc12&vjs=3,APRIMCO TRADING PTE. LTD.,$4500 - $6000,1 days ago,
13,Software Engineer,https://sg.indeed.com/company/JoinUs-Asia-Singapore/jobs/Software-Engineer-43403292124f9148?fccid=5f4a92302ab4aeb2&vjs=3,JoinUs Asia Singapore,$4000 - $5200,5 days ago,"Integrate software components into a fully functional software system.Close familiarity with software engineering tools, software development methodology and…"
14,Software Developer,https://sg.indeed.com/rc/clk?jk=ce722da47d806531&fccid=aad03c4fe1c15b8f&vjs=3,APAR TECHNOLOGIES PTE. LTD.,$6500 - $10000,2 days ago,RPG expeirence is a must and plus system analyst as well as development .Strong Hands on experience in AS400 iSeries platform and RPGLE programming is a must.
15,Software Engineer (C#),https://sg.indeed.com/rc/clk?jk=008c294a3be96616&fccid=f27be6f3937ad625&vjs=3,RECRUIT EXPERT PTE. LTD.,$4000 - $6000,3 days ago,"Run with version control tools and problem tracking tool for software release management.Evaluation of new releases by unit testing, modelling processes and on…"
16,IT Support,https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DNHpLqAaVRuzWRNyPevW9ZpedY5KjY-iw4GyqO-VdA8n97oMPSm-yfSyRV9FN2kk99QUDj1PE8j6MJ5Gm3zctmLqNLzd8mCUEjB5HTOfgdHtxDSJ1tnFRT3ekmn5M8NwL1EVt1WkcRLpvhEg6k9SOsNKxh-w7V6LWv3L3WA8BlM549VFBjeudTo8n7yi-E2ujxb06YSVqUfM-jiCjFqt8nBx-EyasXdvAtRRCw-uk-XZT9eYY4X11WToq9zs9-iVFUKPAnSvTXCyHrag9C3TXCCyzzFTp9MV6gCpMKpZzMQQG71IuWABmPFiqSDSeaVbr1nBHwEJhOJLPMTdXffgj9EmATshofWrt-OrFrYwMoy-leddt7iebuA_apVKhXmwwh4B4XicNXNSVNiu_wTiwPLTliUxN_frLC_2QLDWjiqzLDVPv3ttoW00NTW4B2c7Wx76UBj7ua3uY8Tqr5fOrp_RNrKzuTyYo3vJIyS7RsJ25CFcuF_MMmGhm4UQ5Q7pYLS4lX_ktbsT_r_N2N7901N0YXOzRVefc=&p=0&fvj=0&vjs=3,PERSOLKELLY Singapore,,1 days ago,Assist in administrative support on IT.Managing IT equipment for onboarding and offboarding.Basic Windows and Mac end user support when required.
17,IT Support Engineer,https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AdZIJTd64echgMzzonmioRfTN7KDf1P1v7DLhOPVAYE1EH0v1U-tKbJGVh_BX3Qm5IJ-udPfqLLYcy32fZBdOux1RvIP4Evm06ZXAfnejpqwUEDU9l82veKFWG0OF9XN6vs2Klv0ix1jAlNHYMKtb4V_DkrOt7I-CB1KI9Ffa0As5G3T8iEb7V5L5W_vMBCNWSW5FFbDRa1C5Os_YmdzICec3xwGTcwJLduaoVccIQIDYzwEcPnIpcQrzMfHb0RYbMKfBdv7Sl0SSoD3c_16vfDYRX3znBBK5RAEa-vATP5LBp52fvKZA7EUjBKthgEIClUc_MxkweEvZHSBAJVSsLAyY6CjsPpihxPc9Edn20lxauF7D_LERMc5o3pmJ1Z98Dx2G-PRTcIgaxBEBC1Lu4KvobLd2bz_AhfHvpOVjjyLoqFH6ptvXpt7zy_SHrzLh40XunoOqHlpBxPghG-2xN&p=1&fvj=1&vjs=3,XML International,$1686 - $6013,3 days ago,"Level 2 PC\Desktop technician with a minimum of 5 years’ experience in Microsoft network administration, support, troubleshooting, and design."
18,IT Administrator,https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DNHpLqAaVRuzWRNyPevW9ZpedY5KjY-iw4GyqO-VdA8n97oMPSm-yfSyRV9FN2kk95xHKildggwPHT0L1Z2aTkVfyYEbG3dCVAG1QRF4auc-_cjtdr28jqMWK1a5T5Zz5nyLuo_WmMo4Sz0-KADn_GwfvOIdAfa6LDaWlu5-DdRM864ZsBOyKMkH0ZJ2c1BktHh-2NuabhkXAOlmtbkVFHk4B4uLsgiQB61DRm5tm2eU5TVBvm2BHO2N3nFsZPdiy2Edp-BTKo4i1dcaVPADcx3FaSKpcyisfnqL126SRxb-Tl-O4q2EmsCjV6SxUga5S4BnWY9KnEP6pTS-Yj76Grv1iZTbnU0xk03zSHSDuhCbZzP8ltDtrzPvd0Lk5KdsPCqTXMB9F5z7cZYx_YmxLb1rYTFmkpRQF23kRBAggeahDX__vygy4epgtpAnEn32Sgu9AZ1tq3C1PKxPGHV3S6SkakiL2wmWGeufW4soBrL2uxOicEXMYXWnpBiAos_fWdZw0McHGZv5oZUHrkzZFU&p=2&fvj=0&vjs=3,PERSOLKELLY Singapore,,4 days ago,"Hardware and Software Vendors, Suppliers for IT and telecommunication equipment.Manage and maintain the IT infrastructure and provide technical support to…"
19,"IMMEDIATE* IT Support Engineer - MNC, UP TO $5K++",https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHDBDSJr8UdJNPXfLJUzZmX88tDrg5dwJwiM1K-pUbuFJRCfQxVJa294GQ2q-XF0nN9B99UbzwzRk5fEIMWg16S2HdabaXMbcPvhkYn9_ZckYQPtK_IoPM_o1kF2WSA3y77gEjw9gLOqIHVXoyyXSnk8M4F4dapJOe_MpWr-6Hp5c1mrW33rJzi5sUd0mF8A2GDS8SM3sQvd8qLe8Eize2uob5B_Z3Plha3C3nMykK-vuaBHFHbHZvA-oRQ7AVrLsUJQI8jfUwGrVqjNpvIZvfLuGXc-C6GODYo0KYh1GkOQW7G5-6AFpyztitc4S-IKu96JisQtjZjlbOmxcGiLONl3wCFy-8Lc5YIimHFJo4NDX0sJAxViMO0DdgjkCe0JCUPXR71QMHXVzzLFtyM5X1SG2tdnBNLCEoEmHInu1rsqxVO-PHVAdvUZh25pvdDXjCjZSwUq0hWeYfpXKemAk9UibH3uEvHZlAqHzJpliVxTQ2TdiFsDyNYef4wNy6et49LTblfFBTldbnruQLScINSYHZ8WuN7KDB2eG1HEjy8w==&p=3&fvj=1&vjs=3,Recruit Express,$4001 - $6000,4 days ago,"Deliver prompt on-site IT troubleshooting support.Serves as main customer contact in IT, technical-related issues and product application issues."
20,IT Helpdesk (Tai Seng),https://sg.indeed.com/company/Bhavyam-infotech/jobs/IT-Helpdesk-ffc3e1943ca9190d?fccid=16600ca778779fce&vjs=3,Bhavyam infotech,$2500 - $3200,10 days ago,Provide technical support to end users on their daily IT usage problem.Adhere to the provided Service Level Agreements (SLAs).
21,Manufacturing System IT Analyst,https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbLEAfUJ_8-EnULjJ15l1k6LfB5RD9Ew3x4SlXgqMri8qzijF5DizICNB4rWW0hxj8uV-_X2SesXqiNIFtjw-OIURx_IYKG_JZFPsdv7ril0at6H5TUNvJq7bFpbMw6tPpEefCQdY_4-6lhR6c8st5-v9K59rZ8dD1GhbD7JeTD411xRXRYWzC-Vf0rR_iztCTppp9MLjLe1dVs_rYDmXRsmHy6vcQ4xjRfL1PmQxGq8dDR9zGpYggJX2r6_d8gTt5i3CfDkTfFEPOVt26uVn5Q0_e51RsaUOJ-Fba23se9eCSPyW1QSLATh5yiDjldY7wvcoFXpvH6_HwDIQ4HBo7jA4JQQMwWQueEOz_w_51NH-jqxL7VEy2lhNSXaacGuNke5SjUrqAc05XDEE83Ls8nxbo87xacWbRsLetxfCvRMA7E-ko40y3kXphVJ0rh_nL7iT0AvZXl42GHLVktuf0THULwd-6ZYUjlyiRlLYOpSXw8BlfPKoIiWIP0kJ7MGx9qda3h1SeL8vi8-TixiJ5mQEC_UAlUYvogy-TVK26ora-j42mkmoZ3JMI7ZbA0MtQqieg1GwhF06a9OeOWWQO_fk3HbkmpaHpmxSuagaTKuX6Mz7ADWfwDizHoo95wVgaA5oQlrWKAQ7x7NzyBdFO&p=5&fvj=0&vjs=3,People Profilers Pte Ltd,$4500 - $4500,5 days ago,"Job Description: Location: Ang Mo Kio Industry: US MNC - Automotive Salary Range: Up to $4,500.00 This is a Permanent role Rresponsibilities The Manufacturing…"
22,IT Desktop Engineer (Dover),https://sg.indeed.com/company/Bhavyam-infotech/jobs/IT-Desktop-Engineer-176cd57203b1e844?fccid=16600ca778779fce&vjs=3,Bhavyam infotech,$2500 - $3000,10 days ago,"To provide IT hardware service and support on desktops, laptops for end users and corporate customers.Provide timely update to customers on service appointment…"
23,IT Support Engineer,https://sg.indeed.com/company/A--Speed-Infotech-Pte-Ltd/jobs/IT-Support-Engineer-20d15daa8dbdd227?fccid=a0b6ced11f55bea0&vjs=3,A-Speed Infotech Pte Ltd,$2500 - $3500,4 days ago,"Onsite support for users on technical issues involving client’s network connectivity, network resource access, desktop clients, standard and client’s…"
24,IT Systems Consultant,https://sg.indeed.com/company/ITCAN-Pte-Ltd/jobs/IT-System-Consultant-2ab6567b4f131822?fccid=dac85444d99b91d5&vjs=3,ITCAN Pte Ltd,$5500 - $8500,13 days ago,Support and troubleshooting of Windows Servers (Windows 2008/2012/2016).Able to Install of windows servers and has good troubleshooting skills for Wintel…
25,IT Admin Coordinator,https://sg.indeed.com/company/ITCAN-Pte-Ltd/jobs/IT-Admin-Coordinator-7bd35dd72b1340d5?fccid=dac85444d99b91d5&vjs=3,ITCAN Pte Ltd,$2000 - $3000,6 days ago,Work closely with procurement for sourcing of assets.Govern and manage the annual asset budget across various departments vs actual usage.
26,IT Executive,https://sg.indeed.com/company/Bacha-Coffee/jobs/IT-Executive-f35aab00b39c8957?fccid=9a20bd86bf0e2fb5&vjs=3,Bacha Coffee,$3000 - $3500,6 days ago,"Respond and deal with incidents, service requests and queries from end-user that includes installation, upgrading and maintenance of computer hardware and…"
27,IT Technical Support Engineer,https://sg.indeed.com/company/Horizon-software/jobs/IT-Technical-Support-Engineer-fa684ea1b9d3aef8?fccid=1d3fdaa28919912d&vjs=3,Horizon software,$2500 - $3500,2 days ago,"Taking ownership of customer issues reported and seeing problems through to resolution.Researching, diagnosing, troubleshooting and identifying solutions to…"
28,IT Support Administrator,https://sg.indeed.com/company/LHN-Group/jobs/IT-Support-Administrator-f6c9a61e3b1b616b?fccid=aa31074de5d4056a&vjs=3,LHN Group,$2500 - $3500,2 days ago,Provide technical support on all hardware and software systems for users in local offices and remote offices.Provide assistance to enforce IT security policies…
29,IT Support Engineer,https://sg.indeed.com/company/Let's-Tok-Pte.-Ltd./jobs/IT-Support-Engineer-7c35b2d0892ea3c7?fccid=f151d8f9bb938508&vjs=3,Let's Tok Pte. Ltd.,$4500 - $5500,9 days ago,"We’re looking to hire an experienced IT Support Engineer to manage the company’s computer systems.As an IT engineer, you will be responsible for designing…"
30,IT Intern,https://sg.indeed.com/rc/clk?jk=be62e4aaa3b15596&fccid=bca1c8ed48c3b338&vjs=3,Roche,,3 days ago,"Work on requests as they relate to maintenance of personal computers and related systems.Prepare help desk incident reports, analytics and propose/track action…"
31,IT Executive (Operations),https://sg.indeed.com/company/JoinUs-Asia-Singapore/jobs/IT-Executive-d764b90ccc6d1a08?fccid=3099a80c97dee946&vjs=3,JoinUs Asia Singapore,$3000 - $4500,12 days ago,"Install, support for hardware and software trouble-shooting and administrative assistance.Implementing new security solutions to better protect the…"
32,IT Engineer,https://sg.indeed.com/rc/clk?jk=11ad3abc3e6a6f14&fccid=e2630e9224d24400&vjs=3,Emereo Technology Pte Ltd,$4000 - $6000,2 days ago,Build and maintain Systems and Network support to clients on daily operations.Well Verse in Microsoft Operating System platform with Microsoft Exchange Support…
33,IT Specialist,https://sg.indeed.com/rc/clk?jk=3a9b7ba0150b875d&fccid=caae188d733aa34c&vjs=3,IFAST CORPORATION LTD.,$3200 - $5000,2 days ago,"Responsible for development and maintenance of web applications and online portals, dealing with various investment products.Familiar with Spring and Hibernat."
34,IT Executive,https://sg.indeed.com/rc/clk?jk=abf9943c83c6285b&fccid=a93948f1b9b51924&vjs=3,United Personnel Services,$3700 - $4200,13 days ago,Salary: $3700 to $4200Work Location: Redhill (travel to site offices as and when required)Work Days: 5 Days (8:30am to 5:30pm)Responsibilities: • Provide…
35,"IT Support Specialist, Asia Pacific & Japan",https://sg.indeed.com/rc/clk?jk=86ee1f26c849d30e&fccid=8c960719c6b5d8c3&vjs=3,BIOTRONIK SE & Co. KG,,11 days ago,"As part of the regional IT team based in Singapore, the ‘IT Support Specialist’ is responsible to provide reliable and customer orientated IT client services…"
36,Assistant IT Manager,https://sg.indeed.com/rc/clk?jk=307d2518dfc59f2a&fccid=f90365d5bbe32fc3&vjs=3,HONG LEONG ASIA LTD.,$5000 - $7000,1 days ago,"Install, configure, troubleshoot and ensure ongoing usability of computers, telephony, printers and mobile devices.Knowledge or experience in SQL server setup."
37,IT Service Desk Analyst,https://sg.indeed.com/rc/clk?jk=35a94cc2e7a0765c&fccid=1779658d5b4ae2b0&vjs=3,Sojern,,1 days ago,"As an IT Service Desk Analyst, with a vertical in Apple, Mac, Jamf & MS products/technologies, you will be providing customer service technical IT service desk…"
38,IT Administrator,https://sg.indeed.com/company/Wei-Long-Electronics-Engineering-Pte-Ltd/jobs/IT-Administrator-780ff78bd664da3d?fccid=ae4cfabc48aff464&vjs=3,Wei Long Electronics Engineering Pte Ltd,$2500 - $3500,3 days ago,Responsible for IT related matters.Project coordination and technical writing.Monitoring project schedule and objectives to ensure timely achievement of…
39,IT Support Engineer,https://sg.indeed.com/rc/clk?jk=f42062f933b19c90&fccid=500b6490c5f9cc64&vjs=3,FEHMARN CONSULTING PTE. LTD.,$3000 - $4000,6 days ago,"The incumbent shall act as first level support and resolution to all reported issues, incidents and queries related to IT (hardware, software and company’s…"
40,IT Asset Decommissioning and Disposal Associate,https://sg.indeed.com/rc/clk?jk=f481d4b3a2e39640&fccid=0c39fb2c91742dcf&vjs=3,Morgan Stanley,,6 days ago,"EDUCATION LEVEL: Bachelor's Degree.As a supervisor, the candidate will ensure all personnel reporting to them conduct themselves in a safe and professional…"
41,Airline IT Delivery Manager,https://sg.indeed.com/rc/clk?jk=c7a3ce491c238e03&fccid=d116fab42b834cb9&vjs=3,Amadeus,,13 days ago,The role of the Airline IT Delivery Manager is to provide quality and consistency of on-going service deliveries for the full range of solutions and services…
42,IT Executive,https://sg.indeed.com/rc/clk?jk=d4bd0af19d142a5e&fccid=ac89116cf34f878e&vjs=3,Singapore Swimming Club,$3000 - $3300,3 days ago,"Tech-savvy with working knowledge of office automation products, databases, and Windows Servers.Good hands-on experience in Microsoft Office applications and…"
43,Senior IT Security Officer,https://sg.indeed.com/company/ITCAN-Pte-Ltd/jobs/Senior-IT-Security-Officer-73886149f548f804?fccid=dac85444d99b91d5&vjs=3,ITCAN Pte Ltd,$6000 - $8500,2 days ago,"Good working knowledge of security risk management, security governance framework and compliance (IT Security Audit / log review), technical vulnerability…"
44,IT Associate,https://sg.indeed.com/rc/clk?jk=03e71019ad295a6f&fccid=05895a9aa511f5a9&vjs=3,AGES Systems Gelderfarenit Pte Ltd,$3200 - $5000,1 days ago,"Established in 2004, we are the only Asian owned company with relevant accreditations by significant organizations such as Payment Card Industry (PCI) Security…"
45,IT Support Specialist,https://sg.indeed.com/rc/clk?jk=2984c2f07724666b&fccid=fbf8221f1a3fa42c&vjs=3,SIVANTOS PTE. LTD.,$3000 - $4500,3 days ago,"Reporting back to our IT Operations Lead, you will be responsible to provide technical support to our users both remotely and onsite."
46,IT Installer,https://sg.indeed.com/rc/clk?jk=09a41ae4b8d3aaa1&fccid=b31f975c92b818aa&vjs=3,Micro 2000 Technology Pte Ltd,,2 days ago,"Flexible Start, For At Least 6 Months.Micro 2000 Technolgy Pte Ltd also offers a wide range of software packages that have been configured for numerous schools…"
47,IT Business Analyst,https://sg.indeed.com/rc/clk?jk=b10005d4d7f54e5f&fccid=4b841d912d46e4fd&vjs=3,Luxoft,,2 days ago,We provide a benefit to the organization as we are responsible for a portfolio of products including ServiceNow & MIR3 platforms which are predominantly used by…
48,IT Risk Analyst,https://sg.indeed.com/rc/clk?jk=c33c61b7a894e2a7&fccid=35c79097c1f63f3d&vjs=3,GO-JEK,,4 days ago,"As a Senior Analyst with the IT Governance, Risk & Compliance Team you’ll be an instrumental part of the Gojek Information Security team that is responsible for…"
49,IT Support Specialist,https://sg.indeed.com/rc/clk?jk=5b1a990ceaa2b97c&fccid=f2f2915301bf542f&vjs=3,WS Audiology APAC,,3 days ago,"Reporting back to our IT Operations Lead, you will be responsible to provide technical support to our users both remotely and onsite."
50,IT Support Engineer (Fresher),https://sg.indeed.com/rc/clk?jk=e7f4d1a34596d5d9&fccid=c992006594481576&vjs=3,AVATAR TECHNO SERVICES PTE. LTD.,$2000 - $3500,1 days ago,"Diploma in Information Technology or Computer science or any computer related subject.Good knowledge in PC hardware, LAN and Windows OS."
51,"IT Assistants(Shift Work, Partial Work At Home)",https://sg.indeed.com/rc/clk?jk=732ea68bf1e36f75&fccid=bb3d64a90b2ff3fa&vjs=3,OAKTREE CONSULTING,$2000 - $3200,3 days ago,To provide 1st level of support via hotline calls and emails with SLA.To log all customer requests into internal ticketing system.
52,IT Administrator,https://sg.indeed.com/rc/clk?jk=b68ee8e430227483&fccid=7d925ff6d0994927&vjs=3,Pharmatrial Pte Ltd,,2 days ago,"Immediate Start, For At Least 3 Months.A Suitable candidate should have at least 2-3 years of admin experience in handling Microsoft apps and portals and must…"
53,IT Retail Business Analyst,https://sg.indeed.com/rc/clk?jk=13450f86f2af2c9d&fccid=16b63878d3efc1b1&vjs=3,The Swatch Group S.E.A. (S) Pte Ltd,,2 days ago,"Provide second level support for CBR Y2 for APAC countries.Identify, analyze and specify business requirements and enhancements."
54,IT Support Engineer,https://sg.indeed.com/rc/clk?jk=961509e014740cfd&fccid=3a0666a23d72e8ec&vjs=3,EPS COMPUTER SYSTEMS PTE LTD,$2800 - $3500,6 days ago,"Helpdesk/Desktop/Laptop/application End user facing support (ie, MS Windows like Win 7, Win 10, etc and office applications such as 2013, 2019 and/or O365)),."
55,IT Tech Support,https://sg.indeed.com/company/Apro-Asian-Protection-Pte-Ltd/jobs/IT-Tech-Support-8a38721ac65ef93e?fccid=694cb02dd5202b9d&vjs=3,Apro Asian Protection Pte Ltd,$2700 - $2700,4 days ago,"In this role, you will work on maintaining and monitoring the computer systems and networks for our business.PC Setup/ Replacement/ Troubleshooting for users."
56,Assistant IT Manager,https://sg.indeed.com/company/Bacha-Coffee/jobs/Assistant-IT-Manager-b4ea03e4a1dc5044?fccid=9a20bd86bf0e2fb5&vjs=3,Bacha Coffee,$4000 - $4000,6 days ago,"Analyse business, work with key business stakeholders to incorporate IT applications and operation processes with technology solutions."
57,IT Support Executive,https://sg.indeed.com/rc/clk?jk=da8d8e0171398b95&fccid=4a613996d59bd1c5&vjs=3,ROHDE & SCHWARZ ASIA PTE. LTD.,$3500 - $4500,5 days ago,"I Remote and Onsite User support for 3 locations (Changi Business Park, Loyang and Johor Bahru).I Second level support for AP users."
58,IT Project Associate,https://sg.indeed.com/rc/clk?jk=f33c10591fcd0301&fccid=156c7820d1988640&vjs=3,SAP,,4 days ago,Data Center Management and Infrastructure Build (DIB) is responsible for running SAP’s backend technology including operations of state-of-the-art data centers…
59,IT Support Analyst #SGUnitedJobs,https://sg.indeed.com/rc/clk?jk=ea45fb175afc8d64&fccid=b4d9b98ba66c1d13&vjs=3,WINSYS TECHNOLOGY PTE LTD,$3200 - $4500,3 days ago,"A. Install, support and maintain hardware and software infrastructure according to best practices, including routers, aggregators, switches, Wifi controllers…"
60,IT Helpdesk Support / System Engineer,https://sg.indeed.com/rc/clk?jk=bb16ce7b381bf809&fccid=e6a47b3c32c4e717&vjs=3,MCCANN WORLDGROUP (SINGAPORE) PTE. LTD.,$4000 - $5000,4 days ago,"Possess pleasant personality, a team player, with planning, organizing & interpersonal skills.Deploy, administer and maintain Microsoft Active Directory, DNS,…"
61,IT Support Executive,https://sg.indeed.com/rc/clk?jk=e58c6646746fd587&fccid=b5c03f369c8d2b82&vjs=3,ROHDE & SCHWARZ GmbH & Co. KG,,4 days ago,"Remote and Onsite User support for 3 locations (Changi Business Park, Loyang and Johor Bahru).Second level support for AP users."
62,"IT Support Specialist, Asia Pacific & Japan",https://sg.indeed.com/rc/clk?jk=7dc0f4dcad6003e6&fccid=b8074b8025c787a5&vjs=3,BIOTRONIK,,11 days ago,"As part of the regional IT team based in Singapore, the ‘IT Support Specialist’ is responsible to provide reliable and customer orientated IT client services…"
63,IT Support Executive,https://sg.indeed.com/rc/clk?jk=518e43a446c7afd8&fccid=4102bf3d1d937387&vjs=3,Apex Harmony Lodge,$2500 - $3500,3 days ago,Implement processes to ensure efficient ICT operation.Work with vendors to ensure that all ICT systems are maintained at an optimal level.
64,IT tester,https://sg.indeed.com/rc/clk?jk=8c329410e1e30c2b&fccid=26358a805eb07e97&vjs=3,OFFICE SECRETARIES PTE. LTD.,$5000 - $7000,4 days ago,"Gap analysis of current scripts and new scripts required for testing of software releases, IT Changes and project lifecycles."
65,Senior Manager (IT),https://sg.indeed.com/company/JoinUs-Asia-Singapore/jobs/Senior-Manager-ed6a7b2d1ee729ba?fccid=3099a80c97dee946&vjs=3,JoinUs Asia Singapore,$5000 - $15000,6 days ago,"We are looking for a skilled IT manager who will oversee the smooth running of our computer systems within the limits of requirements, specifications, costs and…"
66,IT Desktop Support #SGUnitedTraineeships #SGUP,https://sg.indeed.com/rc/clk?jk=1ffa6a55926eb7ce&fccid=93ffb51d89b44b5d&vjs=3,Anaplan,,10 days ago,"This role will mentor and lead others on the support team, to improve customer support processes, to maintain strong customer satisfaction, and to influence…"
67,IT Technology Senior Consultant_Citrix_7,https://sg.indeed.com/rc/clk?jk=88c5b2d67744a50d&fccid=156c7820d1988640&vjs=3,SAP,,3 days ago,"Within IT CTW O&V Team you are responsible for 3rd level support, continuous service improvement and security compliance of underlaying technologies."
68,OC IT Support APAC,https://sg.indeed.com/rc/clk?jk=1afd0dc12c3f5b2d&fccid=2d27a79a723f85a0&vjs=3,OutSystems,,14 days ago,Implement new technical solutions that improve the operations on Digital products.Identify and implement opportunities for automation.
69,IT Field/Support Engineer,https://sg.indeed.com/company/SYSTEMSQUAD-PTE-LTD/jobs/IT-Field-Support-Engineer-afb565171242fbd5?fccid=06f23641d21434d5&vjs=3,SYSTEMSQUAD PTE LTD,$2800 - $3500,4 days ago,Min 3 - 4 years of IT project working experience.Provide L1 & L2 hardware and software troubleshooting.Basic networking and IP skills.
70,IT Support Engineer,https://sg.indeed.com/company/ITCAN-Pte-Ltd/jobs/IT-Support-Engineer-d2ec6f4bec15249b?fccid=dac85444d99b91d5&vjs=3,ITCAN Pte Ltd,$2500 - $3500,2 days ago,Responsible for 1st / 2nd level troubleshooting in Operating system Managing and updating Windows patches for Desktops and Laptops.
71,Information Technology Manager,https://sg.indeed.com/rc/clk?jk=895fd9045894df7f&fccid=e52a8045d312f049&vjs=3,FAIRMONT,,13 days ago,The Cloud Infrastructure Manager manages the key Hotel Infrastructure and systems and works in tandem with our Innovation teams to identify and implement the…
72,APAC IT VMO - Process Advisor,https://sg.indeed.com/rc/clk?jk=526ea07837e4ba3e&fccid=5c439b65a0bd045b&vjs=3,FedEx Express APAC,,9 days ago,"Regional IT, Infrastructure, Field IT, Customer Solutions, Business Continuity, IT Strategic Planning, Application Development, Information Security,…"
73,IT System Engineer,https://sg.indeed.com/company/Horizon-software/jobs/IT-System-Engineer-c0fe9a449b182cf8?fccid=1d3fdaa28919912d&vjs=3,Horizon software,$2500 - $3500,2 days ago,"The System Engineer takes care of the user accounts, permissions, access rights, and storage allocations.Creating a backup and safeguarding the data if there…"
74,IT Technician,https://sg.indeed.com/rc/clk?jk=4b6029e5d70c67be&fccid=6ae4d95e44db8b02&vjs=3,ServiceSource,,2 days ago,"Reporting to the IT Manager, the IT Technician will provide technical and interpersonal Information Technology (IT) support while forging strong relationships…"
75,IT Business Analyst,https://sg.indeed.com/company/Rotary-Engineering-Pte-Ltd/jobs/IT-Business-Analyst-2a2ac93ccb264329?fccid=1a7f35b1997f45b5&vjs=3,Rotary Engineering Pte Ltd,$3000 - $4500,3 days ago,The IT Business Analyst (BA) is responsible for supporting company users in utilizing the IT applications to execute their business functions.
